"filename", "language", "Python", "comment", "blank", "total"
"f:\ZhouTomo\ZhouTomo_v2\autofocus\config.py", "Python", 15, 2, 7, 24
"f:\ZhouTomo\ZhouTomo_v2\autofocus\controller.py", "Python", 93, 13, 21, 127
"f:\ZhouTomo\ZhouTomo_v2\autofocus\microscope_api.py", "Python", 69, 9, 13, 91
"f:\ZhouTomo\ZhouTomo_v2\depreciate\ztDefinitionEvaluator.py", "Python", 10, 0, 4, 14
"f:\ZhouTomo\ZhouTomo_v2\depreciate\ztStemAutoFocus.py", "Python", 224, 60, 56, 340
"f:\ZhouTomo\ZhouTomo_v2\model\targets.py", "Python", 41, 3, 16, 60
"f:\ZhouTomo\ZhouTomo_v2\view\dialogs.py", "Python", -44, 3, 9, -32
"f:\ZhouTomo\ZhouTomo_v2\view\main_window.py", "Python", -326, -26, -32, -384
"f:\ZhouTomo\ZhouTomo_v2\view\panels\file_panel.py", "Python", 141, 8, 22, 171
"f:\ZhouTomo\ZhouTomo_v2\view\panels\image_panel.py", "Python", 133, 6, 27, 166
"f:\ZhouTomo\ZhouTomo_v2\view\panels\info_panel.py", "Python", 98, 11, 19, 128
"f:\ZhouTomo\ZhouTomo_v2\view\toolbar.py", "Python", 18, 5, 0, 23
"Total", "-", 472, 94, 162, 728
